iteration,objective
1,-0.02896143812127803
2,-0.0024494146993541146
3,-3.1640515876343e-05
4,-3.049345037384444e-07
5,-4.632903690293624e-09
6,-1.4977292719278138e-10
7,2.0963635850483517e-13
8,1.0164158408058654e-05
9,0.0008144870736135694
10,0.007399655560845835
11,0.019683935753037105
12,0.045636141462249986
13,0.0740439441960529
14,0.11045841827232175
15,0.13751193993346453
16,0.1809334424962076
17,0.196402186653102
18,0.22216432769061414
19,0.24133292672768591
20,0.2490920153632727
21,0.2739136688172595
22,0.2932100746574327
23,0.30708608120402475
24,0.3339867151369199
25,0.3589461757756363
26,0.38000874305110877
27,0.3807749642530693
28,0.39967255348834824
29,0.40921318904340337
30,0.39993844025952285
