iteration,objective
1,0.009935703037969524
2,0.009904152957963047
3,0.009869458110715079
4,0.009833170992704057
5,0.009794845217350103
6,0.009754174164382037
7,0.009711928798619065
8,0.009668403468741179
9,0.00962374702957137
10,0.009578125784509957
11,0.009532192379882912
12,0.009486384493622211
13,0.009440514278832798
14,0.009394602326665433
15,0.00934917568033756
16,0.009325634879028221
17,0.00930640196205926
18,0.009290030473501956
19,0.009275132457801972
20,0.009259972251581537
21,0.009243825812926449
22,0.009226703809770996
23,0.009209244507446012
24,0.009191833447678023
25,0.009174310718915177
26,0.009156755527904356
27,0.00913870916201634
28,0.009119877155600746
29,0.009099529628258994
30,0.009077623006500543
31,0.009054613169900609
32,0.009032109467806063
33,0.009011077426951015
34,0.00899207636366083
35,0.008976724861193244
36,0.008964747500726136
37,0.008954717297523179
38,0.008945383274388348
39,0.008936075973103879
40,0.008926352897541083
