iteration,objective
1,0.009215861531589927
2,0.0355439576022816
3,0.0770326587621404
4,0.11968014179126618
5,0.1569960883172759
6,0.19220795977372862
7,0.22010355275990373
8,0.2425390226175475
9,0.26032809834086457
10,0.2749574990321118
11,0.2863497555452664
12,0.2949228049779901
13,0.302272074790941
14,0.30859512985376925
15,0.31385371245377874
16,0.31833861351772413
17,0.32233427658809505
18,0.3259131933323143
19,0.3294390001453589
20,0.332755554482953
21,0.3358760023144075
22,0.338608629691353
23,0.34098546378333994
24,0.3430818888842576
25,0.34501038181563465
26,0.34676185585962377
27,0.3483237431840683
28,0.3496819240707163
29,0.3507331916905905
30,0.3516001665970816
