iteration,objective
1,0.03210321023434871
2,0.12057328885676888
3,0.24165182457719356
4,0.35280724290584153
5,0.43539172919396046
6,0.4922547912670326
7,0.5294542124696122
8,0.5531801983810163
9,0.5700167680041339
10,0.5824691473316249
11,0.588661833263233
12,0.5936369729918586
13,0.5976699785565934
14,0.60105956261802
15,0.603738123422672
16,0.6059934731584197
17,0.6078475560665176
18,0.6091026268295401
19,0.6108573445263279
20,0.6118985029643007
21,0.6133175503476025
22,0.6145552196379825
23,0.6157431053175056
24,0.6168361359445935
25,0.6176752184965293
26,0.6180928388822625
27,0.6184469501460662
28,0.6186994550888684
29,0.6189159031354269
30,0.6190848093737564
31,0.6192725831126094
32,0.6194242330162114
33,0.6195973200929258
34,0.6196997563446256
35,0.6197366468293843
36,0.6198134561336452
37,0.6198923024216213
38,0.6199003501389538
39,0.6199863931968475
40,0.619983620467148
41,0.6200640206082068
42,0.6200712892823753
43,0.6201506306193088
44,0.6201610771832591
45,0.620244505819547
46,0.6202573043865345
47,0.620344011924202
48,0.6203478560494861
49,0.6204283842362978
50,0.620427732717502
