iteration,objective
1,-0.008329114397640435
2,-0.0018847821655621742
3,0.00016895310759015148
4,0.002838968753187599
5,0.010020488032585938
6,0.021238907082479875
7,0.034690975824156686
8,0.04800554850148932
9,0.059817589563593114
10,0.06960592648810865
11,0.07793574465513946
12,0.08561402149249861
13,0.09306168153729273
14,0.09980614978670818
15,0.10611357733910329
16,0.11132673536579714
17,0.11576613307781689
18,0.12032263931666226
19,0.12436970624932867
20,0.12761744811967718
21,0.13032896466919452
22,0.13312348540796642
23,0.13569746137265545
24,0.13769284067705223
25,0.14127316295314224
26,0.14329386683449016
27,0.14586583406214756
28,0.14858650368347828
29,0.1492733841470091
30,0.15173386345202025
