iteration,objective
1,0.046145594476259155
2,0.04463341946289551
3,0.04298240221478772
4,0.041313287629918954
5,0.03972854218163184
6,0.03810129253619286
7,0.0363981743164611
8,0.03473664932486285
9,0.03322702737811275
10,0.031901834251259066
11,0.030656047284970178
12,0.02945153013213691
13,0.02827821188393738
14,0.027146376232563517
15,0.0260650684026418
16,0.025555138250949745
17,0.025185024404019794
18,0.024924757525341512
19,0.024730957027231083
20,0.024591260793489444
