iteration,objective
1,-0.007230705881412254
2,-0.0013196343791038996
3,-8.963630391783923e-05
4,9.40895862123251e-07
5,0.00010979114645513015
6,0.000207603837414316
7,0.0005998791095789719
8,0.0013714753427858614
9,0.0030375593438975576
10,0.005486507371933544
11,0.008225205994893217
12,0.012085515539804931
13,0.017096243905611572
14,0.023016504774094917
15,0.02931228171939939
16,0.03587808157426947
17,0.04230841607931967
18,0.048167111594900246
19,0.054049181603548796
20,0.05893860104585412
21,0.06372426734868195
22,0.0679226236338083
23,0.0721413454913556
24,0.07526526029643879
25,0.07803900596455694
26,0.07978245187188118
27,0.08155157728871018
28,0.08260388550338164
29,0.08373256733150958
30,0.08428792105272898
31,0.0852972925401817
32,0.08568239319843349
33,0.08655597390145227
34,0.08678226989787584
35,0.08745442188951352
